Yariadna Soelis

Neveras
3.5 pies, Milexus, 340/10 USD
3.5 pies, Milexus, 330/* USD, --

6 pies,   Milexus,  370 USD/3000 CUP
6 pies,   Milexus,  350/* USD 
6 pies,   Milexus,  340/* USD
8.8 pies, Sanmax,   470/* USD

15 pies, Milexus, 820/20 USD
16 pies, Milexus, 870/25 USD

Freezer 
3.5 pies, Royal, 340/10 USD
3.5 pies, Royal, 224/* USD


Refrigerador
7.4 pies,  Premier, 560/* USD
7.5 pies,  Premier, 540/* USD
10 pies ,  Premier, 680/* USD
11 pies,   Royal,   840/* USD
13.5 pies, LG,      840/25 USD
16 pies,   Milexus, 920/* USD


Smart TV Full HD LED
32", Premier, 250/10 USD
40", Roku,    360/10 USD

Exhibidora
6 pies, Premier, 640/20 USD
6 pies, Premier, 620/*  USD
7 pies, Eko,     750/25 USD
7 pies, Eko,     660/*  USD
7 pies, Eko,     720/*  USD

Secadora al vapor a gas
8 Kg,  Royal,   580/15 USD
17 Kg, Samsung, 820/20 USD
20 Kg, LG,      870/20 USD

Lavadora-Secadora al Vapor
14 Kg, Royal, 990/15 USD
14 Kg, Royal, 970/* USD

Split
1.5T, Milexus, 620/10 USD
1.5T, Milexus, 600/* USD
1T,   Milexus, 420/10 USD

Microwave
Samsung, 200/* USD

Lavadora Automática
8 Kg, Milexus, 400/20 USD
8 Kg, Milexus, 380/* USD
9 Kg, Samsung, 530/15 USD
10.5 Kg, Royal, 340/15 USD
13 Kg, Royal, 450/20 USD

Lavadora Semiautomática
7Kg, Milexus, 210/10 USD, Mínimo 10
8 Kg, , 285/* USD
9 Kg, Milexus, 330/15 USD
9 Kg, Milexus, 290/* USD
10.6 Kg, Royal, 340/15 USD
10.5 Kg, Royal, 320/* USD

Planta Eléctrica Inverter Silenciosa 
3500 W, 650/20 USD

Planta Eléctrica
600 W, 250/* USD
800 W, Saco, 250/* USD
1200 W, 450/* USD

Cocina con Horno
Superior 350/* USD

Calentador Eléctrico
50 lts, Eko, 360/10 USD

Ventilador Recargable
Seco, 65/2 USD, Mínimo 10
Royal, 80/10 USD
Royal, 70/* USD


